Codi	URL	Nom	Descripció	Telèfon	Web	E-mail	"Xarxa social 1"	"Xarxa social 2"	"Xarxa social 3"	"Xarxa social 4"	Adreça	Districte	Barri	Longitud	Latitud	"Icona 1 (Principal)"	"Icona 2"	"Icona 3"	"Icona 4"	"Icona 5"	"Icona 6"	"Icona 7"	"Icona 8"	"Icona 9"	"Icona 10"	"Icona 11"	"Icona 12"	"Icona 13"	"Icona 14"	"Icona 15"	"Icona 16"	"Icona 17"	"Icona 18"	"Icona 19"	"Icona 20"	"Icona 21"	"Icona 22"	"Icona 23"	"Icona 24"	"Icona 25"	"Icona 26"	"Icona 27"	"Icona 28"	"Icona 29"	"Icona 30"	"Icona 31"	"Icona 32"	Etiquetes	Itineraris
5391df020a92f43d0a8b464e	http://www.bcnsostenible.cat/web/punt/5391df020a92f43d0a8b464e	"Anthesis - Lavola"	"Lavola és una empresa pionera en el sector de la sostenibilitat amb més de 35 anys d’història, compromesa en oferir solucions als seus clients a través de serveis integrals focalitzats en els objectius i donant resposta a través de les diferents disciplines que treballa: educació, consultoria i comunicació.<br />
<br />
Està formada per un equip de persones pluridisciplinars: d’educadors que treballen per l’aprenentatge de grans i petits; de consultors que ofereixen assessorament a empreses i organitzacions per ajudar-les a millorar; i de comunicadors que ajuden a transmetre les accions que estan duent a terme els seus clients. Afavoreix a l'economia circular de Catalunya.<br />
<br />
Lavola ha desenvolupat el nou concepte de “cosostenibilitat”: la sostenibilitat que es transmet. Amb una missió clara; impulsar les millors solucions en el context dels valors ètics, del respecte i de l’equilibri que promou la sostenibilitat i ajudar als grups d’interès a créixer també en aquest sentit.<br />
<br />
Té les seus a Barcelona (Rbla. Catalunya, 6) i a Manlleu (Ecoedifici), i oficines a Madrid, Bogotà (Colòmbia) i Andorra. Les dues seus han obtingut el certificat LEED (USGBC) d’edificació sostenible, en línia amb els valors de Lavola.<br />
<br />
Aquesta organització està adherida al <a href=""http://turismesostenible.barcelona/"" target=""_blank"">compromis per a la Sostenibilitat Turística Barcelona Biosphere</a>.<br />
<br />
 "		http://www.lavola.com			https://twitter.com/Lavola1981			"Rambla Catalunya, 6, 2a planta"	Eixample	"Dreta de l'Eixample"	2,16815000	41,38784840	b02	b03	b01	b04	d09	d02	a15																										Signants_EA,EiESos,EmpresaBS,CBClima	
5391df020a92f43d0a8b464f	http://www.bcnsostenible.cat/web/punt/5391df020a92f43d0a8b464f	"Lluïsos de Gràcia"	"Els Lluïsos de Gràcia és una associació sociocultural i esportiva privada, sense ànim de lucre, fundada l’any 1855 a la Vila de Gràcia amb l’objectiu d’oferir espais de formació en el lleure per a infants i joves i fomentar el creixement personal dels adults.<br />
<br />
Amb aquesta finalitat, des de fa 160 anys, l’entitat ofereix un ampli ventall d’activitats culturals i esportives que fomenten els valors de l’associacionisme i la col·lectivitat en un clima de respecte i convivència.<br />
<br />
Gran part de l’activitat dels Lluïsos es vertebra a partir de les seccions i gràcies a socis que les organitzen de manera voluntària: els dirigents.<br />
<br />
A més a més, els Lluïsos promou altres activitats i projectes amb l’objectiu de fomentar la cultura, la identitat i llengua catalanes, el respecte pel medi ambient i la integració de la multiculturalitat.<br />
<br />
Allotja el <a href=""https://www.bcnsostenible.cat/web/punt/banc-del-temps-de-gracia"" target=""_blank"">Banc de Temps de Gràcia</a>.<br />
<br />
Hort coberta. Als Lluïsos tenim un Hort Urbà al Terrat en recipient i animem a tothom a participar-hi. Es tracta d’organitzar diferents grups familiars i oferir als infants i als seus pares l’oportunitat de veure el procés i la feina que implica un petit hort. S’hi poden fer créixer calçots, raves, apis, cebes, enciams de tot tipus, tomàquets, julivert, bledes, pebrots, maduixes… segons la temporada.<br />
 "		http://www.lluisosdegracia.cat		https://ca-es.facebook.com/lluisosgracia/	https://twitter.com/lluisosdegracia	https://ca-es.facebook.com/lluisosgracia/	https://ca-es.facebook.com/lluisosgracia/	"Plaça del Nord, 7-10"	Gràcia	"Vila de Gràcia"	2,15556390	41,40725890	f08	f09	a08	g07	b04																												EiESos,EntitatBS,RenovaRoba17,RenovaJocs17,RenovaRoba19,RenovaJoguines19,AiguArt20,RenovaRoba20Maig,HortsComunitaris	"Renova la teva roba 2014 ( https://bcnsostenible.cat/web/itinerari/544a66bf0a92f4d07c8b456d ), Horts i jardins urbans de Gràcia ( https://bcnsostenible.cat/web/itinerari/54b10d760a92f4d34a8b4568 ), Espais ambientals i per a joves de Gràcia ( https://bcnsostenible.cat/web/itinerari/54b10dcf0a92f4da5e8b4567 ), Coneguem la Gràcia + Sostenible ( https://bcnsostenible.cat/web/itinerari/54b2c0740a92f478588b4567 ), Renova la teva roba! 2015 ( https://bcnsostenible.cat/web/itinerari/5624bcfc0a92f410128b4567 ), Renova les teves joguines 2015 ( https://bcnsostenible.cat/web/itinerari/562a04ae0a92f49e748b456b ), Renova les teves joguines  tardor-hivern 21-22 ( https://bcnsostenible.cat/web/itinerari/61a8b891940cd74e7c8b4567 ), "
5391df020a92f43d0a8b4657	http://www.bcnsostenible.cat/web/punt/5391df020a92f43d0a8b4657	"MERCABARNA - Mercados de Abastecimientos de Barcelona S.A."	"Mercabarna és una ciutat alimentària que funciona les 24 hores del dia amb l'objectiu de garantir l'aprovisionament d'aliments frescos als ciutadans. En el seu recinte concentra més de 700 empreses especialitzades en la distribució, elaboració, importació i exportació de productes frescos i congelats.<br />
<br />
A Mercabarna hi ha:<br />
 
<ul>
	<li>El Mercats majoristes de Barcelona:</li>
	<li>Mercat Central de Fruites i Hortalisses</li>
	<li>Mercat Central del Peix</li>
	<li>L'Escorxador</li>
	<li>Mercabarna-flor (ubicat a Sant Boi de Llobregat, en un espai al costat de l'Aeroport de Barcelona)</li>
</ul>
<br />
Garant de salut per als ciutadans de Catalunya<br />
 
<ul>
	<li>Gran concentració d'empreses de productes frescos, cosa que garanteix la millor relació qualitat/preu dels aliments</li>
	<li>Màxima oferta i varietat de producte fresc</li>
	<li>Seguretat alimentària</li>
	<li>Alt nivell d'especialització i de qualificació professional</li>
	<li>Impuls a la dieta mediterrània</li>
	<li>Promotor de campanyes infantils per a una alimentació saludable</li>
</ul>
 <br />
<br />
Entitat signant del Compromís ciutadà per la Sostenibilitat"		http://www.mercabarna.es		https://www.facebook.com/mercabarnabarcelona/		https://www.facebook.com/mercabarnabarcelona/	https://www.facebook.com/mercabarnabarcelona/	"Carrer Major de Mercabarna 76 ,  5a planta "	"Sants - Montjuïc"	"La Marina del Prat Vermell"	2,11491730	41,33121550	a09	b04																															EiESos,EmpresaBS	
5391df030a92f43d0a8b4669	http://www.bcnsostenible.cat/web/punt/5391df030a92f43d0a8b4669	"Espai René"	"René té com a objectiu posar a l’abast de tothom electrodomèstics i productes per a la llar saludables i eficients que garanteixin uns hàbits beneficiosos per a la salut i respectuosos amb el medi ambient. René és una botiga que a partir d’un assessorament contrastat i honest ofereix la solució més adequada als requeriments que rep, i que compta amb un catàleg de productes que han estat seleccionats sota provats criteris de qualitat, eficiència, i compromís cap a un consum responsable i saludable.<br />
<br />
Durant la crisi sanitària del Covid19 impulsem la venta a través de whatsapp (610457337) amb un assessorament personalitzat. Tot i la reobertura dels establiments, la venta a domicili segueix en marxa."		http://www.espairene.com		https://www.facebook.com/espairene/		https://www.facebook.com/espairene/	https://www.facebook.com/espairene/	"Passeig Lluís Companys, 13"	"Ciutat Vella"	"Sant Pere, Santa Caterina i la Ribera"	2,18037824	41,39061467	a04	b01	b02	b04																													comsos,EmpresaBS,Oficiibenefici	"Pinya: Portes obertes de Barcelona + Sostenible ( https://bcnsostenible.cat/web/itinerari/55682c5b0a92f4d8588b4567 ), Comerç Verd de St. Pere, Sta. Caterina i la Ribera ( https://bcnsostenible.cat/web/itinerari/5694e3fe24dd5d1d498b4567 ), Amb ofici i benefici ( https://bcnsostenible.cat/web/itinerari/5dc27ccd24dd5da1498b4567 ), "
5391df030a92f43d0a8b466d	http://www.bcnsostenible.cat/web/punt/5391df030a92f43d0a8b466d	"Salta, Empresa d'inserció"	"Ja fa més de nou anys que estem oferint un càtering de gran qualitat acompanyat d’un servei impecable perquè cuidem, en tot moment, qualsevol detall per petit que sigui.<br />
<br />
Treballem sempre amb productes de proximitat i de primera qualitat que respectin el medi ambient.<br />
<br />
Elaborem diàriament i de manera artesanal les propostes culinàries per a cada esdeveniment, que sempre seran creatives, sanes i equilibrades, cosa que gaudiran els comensals amb tots els seus sentits.<br />
<br />
L’obrador, que és l’ànima del nostre càtering, desprèn l’olor de pa acabat de fer que impregnant-ho tot ens trasllada a la infantesa i ens obre la gana.<br />
<br />
Totes aquestes sensacions i realitats són possibles perquè el nostre càtering té un gran cor<br />
<br />
Entitat signant del Compromís ciutadà per la Sostenibilitat"		http://www.saltacatering.com		https://www.facebook.com/SaltaCateringalteugust/	https://twitter.com/SaltaCatering	https://www.facebook.com/SaltaCateringalteugust/	https://www.facebook.com/SaltaCateringalteugust/	"carrer de Zamora, 103-105, 2n - 4a"	"Sant Martí"	"El Parc i la Llacuna del Poblenou"	2,18938090	41,39614780	a09	b01	b04																														EiESos,EmpresaBS	
5391df030a92f43d0a8b468e	http://www.bcnsostenible.cat/web/punt/5391df030a92f43d0a8b468e	Vanapedal	"<strong>Vanapedal</strong> ens definim com una empresa d'<strong>eco-logística</strong>: oferim solucions eficients per la distribució urbana de mercaderies d'última milla, utilitzant tricicles de càrrega amb assistència elèctrica capaços de transportar fins a 180 kg de pes. Els principals avantatges de treballar amb nosaltres són la mobilitat sostenible i activa – lliure d'emissions de CO2, de soroll i de congestió del trànsit – i l'accessibilitat sense restriccions horàries a zones de vianants o racons de difícil accés de la ciutat. Com a valor afegit, els nostres tricicles ofereixen una imatge d'empresa amb cura pel medi ambient, en un suport dinàmic i innovador.<br />
<br />
Entitat signant del Compromís ciutadà per la Sostenibilitat"		http://www.vanapedal.eu		https://www.facebook.com/vanapedal.bcn/	https://twitter.com/vanapedal	https://www.facebook.com/vanapedal.bcn/	https://www.facebook.com/vanapedal.bcn/	"Avinguda Marquès d'Argentera, 22"	"Ciutat Vella"	"Sant Pere, Santa Caterina i la Ribera"	2,18504070	41,38500180	b02	b01	b04	d01	a11																												EiESos,EmpresaBS	
5391df040a92f43d0a8b4694	http://www.bcnsostenible.cat/web/punt/5391df040a92f43d0a8b4694	"yök, Casa + Cultura"	"<p>Yök és un lloc d'allotjament ecològic, cultura Barcelonesa i disseny local que promou un turisme ètic i responsable. Prima les experiències i la connexió entre viatgers, locals, la ciutat i el seu legat. <br />
<br />
Aquesta organització està adherida al <a href=""http://http://turismesostenible.barcelona/"" target=""_blank"">compromis</a> per a la Sostenibilitat Turística Barcelona Biosphere.<br />
<br />
 </p>
"		"http://www.helloyok.com    "		https://www.facebook.com/yokbarcelona/		https://www.facebook.com/yokbarcelona/	https://www.facebook.com/yokbarcelona/	"carrer de Trafalgar, 39, 8è - 2a"	Eixample	"Dreta de l'Eixample"	2,17703950	41,39010070	a15	b04																															EiESos,EmpresaBS	
5391df040a92f43d0a8b469d	http://www.bcnsostenible.cat/web/punt/5391df040a92f43d0a8b469d	"Escola d'EE Mare de Déu de Montserrat"	"<a href=""http://montserratcee.blogspot.com.es/"" target=""_blank"">http://montserratcee.blogspot.com.es/</a><br />
Gestiona l'<a href=""https://www.bcnsostenible.cat/web/punt/hort-av-montserrat"" target=""_blank"">Hort Av. de Montserrat</a>."		http://www.xtec.cat/centres/a8014012			https://www.twitter.com/eemontserrat1			"Carrer Varsòvia 162"	"Horta - Guinardó"	"El Guinardó"	2,17201860	41,41752440	c03	e10	e12	a14	d21	d19	g07	g07	g18	c09	c08	e14	f10																				Sssplau1718,EHMT1819,actualització2122,triennal21-24,EMS_ES2122	
5391df040a92f43d0a8b46a1	http://www.bcnsostenible.cat/web/punt/5391df040a92f43d0a8b46a1	"CEE Vil·la Joana"			http://www.bcn.cat/vilajoana						"Carrer Major del Rectoret, 2-16"	"Sarrià - Sant Gervasi"	"Vallvidrera, el Tibidabo i les Planes"	2,09840090	41,42306230	c03	d02	e10	a14	d21	f01	g07	g07	c09	f10																							embolcallsES,actualització2122,continuïtat21-22,	"Itinerari guiat per iniciatives agroecològiques a Vallvidrera ( https://bcnsostenible.cat/web/itinerari/5a47757224dd5d48418b4567 ), "
5391df040a92f43d0a8b46a2	http://www.bcnsostenible.cat/web/punt/5391df040a92f43d0a8b46a2	"Centre d'Estudis Montseny - Poblenou"			http://www.cemontseny.cat						"Carrer Pallars, 410"	"Sant Martí"	"Diagonal Mar i el Front Marítim del Poblenou"	2,21074810	41,41077490	c03	d02	d05	e10	a14	f01	g07	c09	e08	f10																							embolcallsES,EmbolcallsES17-18,EmbolcallsES1819,EmbolcallsES1920,actualització2122,millora21-22,	
5391df040a92f43d0a8b46a5	http://www.bcnsostenible.cat/web/punt/5391df040a92f43d0a8b46a5	"Escola Projecte - Centre Educatiu Projecte"			http://www.escolaprojecte.org		https://www.facebook.com/EscolaProjecte/	https://twitter.com/escolaprojecte?lang=es	https://www.facebook.com/EscolaProjecte/	https://www.facebook.com/EscolaProjecte/	"Av. Tibidabo, 16 "	"Sarrià - Sant Gervasi"	"Sant Gervasi - la Bonanova"	2,13616870	41,41164420	c03	d02	e10	e11	e12	a14	f01	g07	g18	c09	c08	c08	c08	e14	e08																		FemCampanyaMobilitat,actualització2122,millora21-22,EMS_ES2122	
